Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
91,ENSMUSG00000004947.16,1173.4973198624452,3.2336224939726,0.08863539769122364,2.2823167526249994e-292,4.4683247543699987e-290,Dtx2,74198.0
92,ENSMUSG00000045932.13,43122.83010056707,7.411055448863449,0.2038363143266541,3.052358691579825e-291,5.910958961868061e-289,Ifit2,15958.0
93,ENSMUSG00000073555.2,991.1666748488869,7.176831947397649,0.19732430701283918,2.404669699949697e-290,4.6066231585272904e-288,Gm4951,240327.0
94,ENSMUSG00000026796.17,17791.64020362035,-2.0616085645764732,0.05674773251395908,1.0719720299740862e-289,2.0317291155338638e-287,Niban2,227737.0
95,ENSMUSG00000006360.12,2139.713501067197,-2.835056494629184,0.0785170389369038,4.421443339149313e-286,8.291835213714122e-284,Crip1,12925.0
96,ENSMUSG00000044703.6,784.9879331854826,6.944487392614306,0.19265228432953702,1.6671400861868503e-285,3.093934143281763e-283,Phf11a,219131.0
97,ENSMUSG00000067212.9,14693.360669733422,3.2629873413961463,0.09106183868792232,3.046120556514637e-282,5.594812766480905e-280,H2-T23,15040.0
98,ENSMUSG00000082292.4,956.0029070748571,4.715336743259737,0.13182816199029462,7.786884458672203e-282,1.4156238113847342e-279,,
99,ENSMUSG00000029780.15,1197.4189503235602,2.939686915733971,0.0823146903373711,2.162711497300829e-280,3.8920068723143004e-278,Nt5c3,107569.0
100,ENSMUSG00000030342.9,8003.568656803101,-2.655779657185354,0.074962315884148,4.488460244265279e-276,7.996640771183021e-274,Cd9,12527.0
101,ENSMUSG00000111118.2,814.9339661414486,7.101689562966938,0.201637321523659,3.4266274919865017e-272,6.044435187844704e-270,Gm6545,625046.0
102,ENSMUSG00000015312.10,1909.2990932868663,2.1816298700493904,0.06205321307472712,1.1682953721180057e-271,2.0406225832994497e-269,Gadd45b,17873.0
103,ENSMUSG00000027398.14,1284.9550236408538,6.025838785066111,0.17219016213013658,1.001597348127546e-269,1.7324716848777047e-267,Il1b,16176.0
104,ENSMUSG00000066150.13,4011.5032911983967,1.5917483075068426,0.045708209855820844,2.840902083115873e-266,4.866683799306961e-264,Slc31a1,20529.0
105,ENSMUSG00000035692.8,6060.728070879154,7.184543697156549,0.20773111172430797,5.5338792618742394e-264,9.389675517100138e-262,Isg15,100038882.0
106,ENSMUSG00000015950.14,9209.77654063082,1.8094047654705006,0.05246031589648432,2.381763047898448e-261,4.003159477486675e-259,Ncf1,17969.0
107,ENSMUSG00000043832.14,3905.6212796261566,2.6627159516157812,0.07752618191026188,2.3974489709916386e-259,3.9918645670268255e-257,Clec4a3,73149.0
108,ENSMUSG00000031304.19,3650.768663665688,2.4027693217484534,0.06997555970371648,3.1994247040094275e-259,5.277865789502959e-257,Il2rg,16186.0
109,ENSMUSG00000030560.18,10086.364562227976,2.5947857512620596,0.07567859497161684,2.2388984425050086e-258,3.659469234098095e-256,Ctsc,13032.0
110,ENSMUSG00000032554.16,24624.65358217029,-2.651128227549883,0.07784200730617417,6.204185634160939e-254,1.004852465983739e-251,Trf,22041.0
111,ENSMUSG00000038507.7,3098.1900650249545,2.720397267936931,0.08013428351161672,1.082399941276406e-253,1.737300662502743e-251,Parp12,243771.0
112,ENSMUSG00000066677.13,1086.8979080934769,7.6158485688789135,0.2247868465889809,3.236217110028765e-252,5.147896788595757e-250,Ifi208,100033459.0
113,ENSMUSG00000039952.16,2901.649668800517,-1.2854436915608018,0.037946024249990835,5.264842888314733e-252,8.300746982142946e-250,Dag1,13138.0
114,ENSMUSG00000055447.20,7695.1441196933065,1.68057305096565,0.04972957156072724,6.115087138036832e-251,9.556701092216159e-249,Cd47,16423.0
115,ENSMUSG00000016206.7,1330.7905212819771,2.4429554416731216,0.0724179766405515,1.9970403061235435e-250,3.0938495733823523e-248,H2-M3,14991.0
